vague,"неопределенный;расплывчатый;неясный"
beneficial,"полезный;выгодный;благотворный"
oddly,странно
blame,"вина;ответственность;порицание"
to be blown away,быть впечатленным;удивленным
to establish,устанавливать;создавать;учреждать
agonizing,страшный
vital,жизненно важный;жизненный;существенный
aubergine,баклажан
obsolete,"устарелый;отживший;вышедший из употребления"
poisonous,ядовитый;отвратительный;противный
unwarranted,"необоснованный;неоправданный"
ambidextrous,"владеющий двумя руками;двуличный"
scalability,масштабируемость
to disrupt,"разрушать;срывать;подрывать"
overwhelmingly,"чрезвычайно;в подавляющем большинстве случаев;очень;несказанно"
take precautions,принять меры предосторожности
malicious,злонамеренный
intentionally,намеренно
other than that,кроме этого
hence,"следовательно;отсюда;с этих пор"
equivocate,"увиливать;говорить двусмысленно;увертываться"
spine,"позвоночник;шип;игла;колючка"
to befuddle,одурманивать
mediocre,посредственный
incredibly,невероятно
to be intended (for),быть предназначенным
to imbibe,"впитывать;поглощать;усваивать"
in spite of this,несмотря на это
colon,двоеточие
to cut a long story short,короче говоря
to rise,"подниматься;повышаться;возрастать"
observant,наблюдательный;соблюдающий;внимательный;исполнительный
to gather,"собирать;почерпнуть;скапливаться"
rise,"рост;повышение;подъем"
caveat,"предостережение;протест"
comprehensive,"всесторонний;исчерпывающий;понятливый;легко схватывающий"
punctual,пунктуальны;аккуратный;точный
the water under the bridge,"много воды с тех пор утекло"
entire,"весь;целый;полный"
beyond,"за;вне;после"
exaggeration,преувеличение
palatable,"приятный;вкусный;аппетитный"
to admire,"восхищаться;любоваться;восторгаться"
intricate,"запутанный;сложный;замысловатый"
IMHO (in my humble opinion),по моему мнению
implication,последствие
bottleneck,узкое место
forward slash,косая черта
semicolon",точка с запятой
allotted,выделенный; предназначенный
effortlessly,без особых усилий
struggle,"борьба;усилие;напряжение"
to upset,"расстраивать;огорчать;нарушать"
provisional,"предварительный;временный;условный"
parentheses,круглые скобки
to stipulate,"оговаривать;обусловливать;ставить условием"
surface,"поверхность;наружная поверхность;внешняя сторона"
rightly,"справедливо;правильно;должным образом"
ampersand,амперсант&
to compose,"составить;сочинять;составлять;создавать"
to cope (with),"справляться;совладать;ладить"
brackets,[]
to get familiar (with),ознакомиться;познакомиться
explicit,явный;точный;откровенный;подробный
likelihood,вероятность;многообещающая будущность
to defend,защищать;защищаться;отстаивать
ambience,"атмосфера;окружение"
to treat,"лечить;относиться;обращаться;обрабатывать"
brittle,"ломкий;хрупкий"
to get stuck,застрять
to blame,"обвинять;порицать;считать виновным"
precautions,меры предосторожности
have your hands full,быть занятым
pursuit,"стремление;преследование;погоня"
retain,"удерживать;сохранять;хранить"
instantaneous,"мгновенный;немедленный"
to get rid of,избавиться от
peril,"опасность;риск"
merely,"просто;только;единственно"
delight,"восторг;удовольствие;восхищение"
sensible,"здравомыслящий;разумный;здравый"
outcome,"результат;исход;развязка;выход;последствие"
to rule out,исключать
obstinate,"упрямый;упорный;строптивый"
dispute,"спор;разногласия;диспут"
to allot,"выделять;распределять;отводить"
consequence,последствие
hyphen,дефис
to struggle,"бороться;биться;отбиваться"
to pursue,"преследовать;продолжать;гнаться за;следовать по намеченному пути"
obnoxious,противный;неприятный;противный
meticulous,"тщательный;дотошный;мелочный"
can you do me a favor ?,можешь сделать мне одолжение ?
good to go, можем идти
sword,"меч;война;сила оружия"
permanent,постоянный
bubbly,always happy;friendly
acquaintance,знакомство;знакомый
trustworthy,заслуживающий доверия
pertain (to),относится
bizarre,"странный;причудливый;эксцентричный"
to acquire,"приобретать;получать;овладевать"
to carve,"вырезать;разделывать;резать;делить;высекать;гравировать"
flattery,лесть
to convey,передавать
impediment,"препятствие;помеха;задержка"
by and large,в общем и целом
indivisible,"неделимый;нераздельный"
graceful,"изящный;грациозный;элегантный"
tremendous,огромный
on and off,время от времени
to ride the wave of,"быть на гребне"
perception,восприятие;ощущение;понимание
to quarrel,ссориться;спорить;разругаться
squash,кабачок
to poison,отравлять;портить
to encourage,поощрять;поддерживать;ободрять
feasible,выполнимый
to be aimed (at),быть нацеленным
strain,"напряжение;деформация;нагрузка"
rogue,мошенник; бродяга; негодяй
to discover,"открывать;обнаруживать;находить"
feisty,энергичный
circumstances,"обстоятельства;условия;материальное положение"
curious,"любопытный;странный;любознательный"
swap,"обмен;сделка"
disruption,"нарушение;разрушение;срыв"
vigilant,"бдительный;неусыпный"
voluble,"говорливый;многоречивый"
ugly,"уродливый;безобразный;неприятный"
to reveal,"раскрывать;открывать;показывать"
stipulated,предусмотренных
to boost,"повышать;способствовать росту;поддержка;ускорение"
to hand in,сдавать;вручать;подавать (документы)
contemporary,"современный;одновременный"
bear with me,потерпите меня; будьте ко мне снисходительны
to puzzle,"озадачивать;приводить в затруднение;усложнять"
fragile,"хрупкий;ломкий;слабый;недолговечный"
dash,тире
litany,"список;серия повторяющихся предметов;перечень"
to preserve,сохранять;хранить;охранять
to strengthen,"укреплять;усиливать;укрепляться;усиливаться;крепить"
cauliflower,цветная капуста
to regain,вернуть себе;восстанавливать;отыгрывать
to reach out to sb.,обратиться к кому-л.
to foresee,"предвидеть;провидеть;знать заранее"
crucial,"решающий;критический;ключевой"
to pencil in,сделать предварительную заметку
to peril,подвергать опасности
decent,"приличный;порядочный;пристойный"
inspiration,"вдохновение;воодушевление;вдох"
tilde,тильда~
to keep an eye (on),следить за
overindulged,избалованый
to convince,"убеждать;уверять;доводить до сознания"
auxiliary,"вспомогательный;дополнительный;добавочный;запасной"
dimension,"измерение;размер;размерность;величина;объем;протяжение"
easy-peasy,очень просто
deliberately,"сознательно;умышленно;медленно;осторожно"
to tolerate,"терпеть;допускать;дозволять"
to contradict,противоречить;возражать;опровергать;отрицать
whilst,в то время как
to fashion,моделировать
favor,"одолжение;благосклонность;расположение"
compliance,соблюдение;согласие;податливость;уступчивость
quarrel,ссора;спор
resentment,чувство обиды; негодование; возмущение
relentless,неослабевающий; неустанный; беспощадный; беспощадный;
to arise,возникать; появляться; происходить
